personid,treatment,ordertaker,type,quitjob,age,costofcommute,children,male,married,perform_prior,perform_post,prior_experience,tenure,basewage,bonus,grosswage,ageyoungestchild,rental,bedroom,second_technical,high_school,tertiary_technical,university,internet,phonecalls_prior,phonecalls_post
38042,1,FALSE,4,0,20,10,0,0,0,-0.490064055,-0.935101688,0,11,1222.222168,653.555542,2156.5979,0,0,1,1,0,0,0,1,0,0
38046,0,FALSE,4,0,21,10,0,0,0,-0.379412979,-0.688662648,3,11,1450,752.111084,2523.260986,0,0,1,1,0,0,0,1,0,0
38052,1,FALSE,3,1,18,10,0,0,0,0.05756535,-0.169997469,0,11,1222.222168,559.666687,2071.159912,0,0,1,1,0,0,0,1,0,0
38070,1,FALSE,4,0,18,10,0,0,0,-0.179071352,-0.85486269,0,11,1222.222168,615.333313,2128.283447,0,0,1,1,0,0,0,1,0,0
38074,0,FALSE,3,1,27,12,1,0,1,0.20807445,-0.524129808,60,11,1450,717.111084,2350.942139,3,0,1,1,0,0,0,1,0,0
38290,1,TRUE,1,0,21,6,0,0,0,-0.087636046,0.319265187,0,11,1450,642.777771,2294.06665,0,1,1,0,0,1,0,1,20.067,15.001
38552,0,TRUE,1,1,23,4,0,1,0,-0.463103503,-1.023230195,30,10,1627.777832,1213.777832,3576.536621,0,0,1,1,0,0,0,1,20.574,5.746
38566,1,TRUE,1,0,22,30,0,0,1,0.228802249,0.627545059,33,10,1450,873.888916,2617.905518,0,0,1,0,0,1,0,1,21.409,20.271
38580,1,TRUE,1,0,22,4,0,0,0,0.820218265,0.852589726,2,10,1450,1402.555542,3173.704346,0,0,1,0,0,1,0,1,26.009,20.434
38712,1,TRUE,1,0,22,4,0,0,0,0.104363516,0.339106083,0,10,1450,743,2408.63208,0,1,1,1,0,0,0,1,20.734,15.432
38842,0,TRUE,1,1,19,10,0,1,0,-0.214420617,-2.05690217,0,10,1222.222168,651.777771,2019.5177,0,0,1,0,1,0,0,1,20.214,0.097
